Feature / Caratteristica,6.1,7.0,8.0,9.0,10.0,11.0,12.0
Customer ref in Sale Order tree / Rif. Cliente in lista ordini,|no_check|,|check|,|no_check|,|no_check|,|check|,|no_check|,|info|
Subtotal in Sale Order tree / Imponibile in lista ordini,|no_check|,|check|,|no_check|,|no_check|,|check|,|no_check|,|info|
Supplier ref in Purchase Order tree / Rif. Fornitore in lista ordini,|no_check|,|no_check|,|check|,|no_check|,|check|,|no_check|,|info|
Refund (credit note) invoice menu / Menù Note Credito,|same|,|same|,|same|,|same|,|check|,|same|,|info|
Invoice group by company / Raggruppamento fatture per azienda,|no_check|,|no_check|,|no_check|,|check|,|check|,|no_check|,|info|
