Description / Descrizione,OCA,Zeroincombenze,Notes / Note
Print layout / Impaginazione,,Min larghezza colonne,Miglioramenti layout
Print layout / Impaginazione,Zero amount,Importi a zero non stampati,
Journal search,Without company,Per azienda,Gestione multi-company
Targert move,All,Solo contabilizzato,In stampa ufficiale è un controllo bloccante
Date search,,,Procedimento modificato
Ordine di stampa,date/name,date/name/id,
Final print / Stampa ufficiale,No page update,Aggiorna pagina su anno fiscale
